,GroupSize,Maximal Similarity,Maximal Similarity(Refined) 
272,274,0.267831815339,0.351272079858
273,275,0.328918749004,0.657727749675
274,276,0.210707590704,0.285638803217
275,277,0.167179017829,0.182770133214
276,278,0.246539236475,0.386566435884
277,279,0.213188124833,0.310870193953
278,280,0.233803359612,0.299369243686
279,281,0.180585046896,0.4311102738
280,282,0.250787959743,0.344321345615
281,283,0.365350336679,0.365350336679
282,284,0.213963594926,0.279028911914
283,285,0.201630858452,0.284162859524
284,286,0.207699171587,0.325844344549
285,287,0.187917116729,0.283522582924
286,288,0.264922643717,0.394748402458
287,289,0.268408211218,0.384738959608
288,290,0.492954507449,0.618877783829
289,291,0.17183736377,0.17183736377
290,292,0.208577585997,0.339148415775
291,293,0.253323041167,0.600570252204
292,294,0.285282598768,0.285282598768
293,295,0.236596660384,0.346724527378
294,296,0.198251251174,0.374904408251
295,297,0.178780448277,0.237003754584
296,298,0.350606199952,0.345926141254
297,299,0.175555073714,0.477186727813
298,300,0.556471034307,0.556471034307
299,301,0.336611188591,0.487058594231
300,302,0.152238348021,0.341074366147
301,303,0.409300040012,1.0
302,304,0.221532995861,0.339435601206
303,305,0.215849954483,0.372941709279
304,306,0.263753473735,0.448450556511
305,307,0.272338127531,0.551189124557
306,308,0.166298654002,0.290898011777
307,309,0.167889279667,0.247576974477
308,310,0.269896881086,0.370754303963
309,311,0.199359980349,0.306233451339
310,312,0.246176444852,0.316619009298
311,313,0.143367675187,0.244921547923
312,314,0.381128767553,1.0
313,315,0.360969010625,0.567786686346
314,316,0.218407121797,0.40843984971
315,317,0.193136949033,0.193136949033
316,318,0.18148233226,0.27021427994
317,319,0.589864642432,1.0
318,320,0.182127035286,0.235149887489
319,321,0.183988697574,0.3012320843
320,322,0.249382299775,0.379974928695
321,323,0.190397423202,0.448270041695
322,324,0.237182396402,0.321624617295
323,325,0.32354610418,0.367138954708
324,326,0.225697415719,0.35245230188
325,327,0.190648906172,0.406421260538
326,328,0.184479312447,0.26702211224
327,329,0.489360744339,0.489360744339
328,330,0.163082833165,0.339386888493
329,331,0.274925282716,0.434863572989
330,332,0.160806410274,0.232040816675
331,333,0.178677193075,0.381820398197
332,334,0.284276764814,0.39198230234
333,335,0.199215871157,0.280032213734
334,336,0.204862094779,0.363337710589
335,337,0.230962118063,0.454516546423
336,338,0.359205138401,0.456025772158
337,339,0.210051084576,0.295628627535
338,340,0.221019684209,0.383503521395
339,341,0.247412837087,0.365817234822
340,342,0.227006558999,0.445368551519
341,343,0.219349032884,0.219349032884
342,344,0.33314381777,0.564989344061
343,345,0.153678223476,0.300097200502
344,346,0.214326575087,0.411989124774
345,347,0.241899993656,0.35751471993
346,348,0.194216628373,0.260426742029
347,349,0.361401318547,0.827374402187
348,350,0.212523766939,0.594114955301
349,351,0.538505285926,0.538505285926
350,352,0.211025156419,0.451802020314
351,353,0.237503255779,0.356125488766
352,354,0.299819063132,0.517602696254
353,355,0.281646388804,0.281646388804
354,356,0.196431629231,0.240736361452
355,357,0.245059548295,0.577512444392
356,358,0.187008545351,0.253572038166
357,359,0.138424148274,0.192461739569
358,360,0.5,0.5
359,361,0.261206504312,0.509166420343
360,362,0.180377591499,0.263047194919
361,363,0.232644454415,0.368126078023
362,364,0.27958846739,0.562434742218
363,365,0.229963451674,0.321281483849
364,366,0.241850284277,0.415211888639
365,367,0.263538636113,0.557454626504
